Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,0.31,0.31,0.31,0.31,0.310000000000000000,2000,2,620.00,2000,100.00,0.00,0.00
24-June-2019,0.30,0.30,0.30,0.30,0.299989209021258228,9267,2,2780.00,9267,100.00,0.00,0.00
13-June-2019,0.31,0.31,0.31,0.31,0.310000000000000000,1000,2,310.00,1000,100.00,0.00,0.00
10-June-2019,0.31,0.31,0.31,0.31,0.304761904761904761,105,2,32.00,105,100.00,0.00,0.00
28-May-2019,0.30,0.30,0.30,0.30,0.300000000000000000,500,1,150.00,500,100.00,0.00,0.00
17-May-2019,0.30,0.30,0.30,0.30,0.300000000000000000,500,2,150.00,500,100.00,0.00,0.00
10-May-2019,0.29,0.29,0.29,0.29,0.290000000000000000,10000,5,2900.00,10000,100.00,0.00,0.00
9-May-2019,0.29,0.29,0.29,0.29,0.289989312433202707,2807,1,814.00,2807,100.00,0.00,0.00
26-April-2019,0.30,0.30,0.30,0.30,0.299964374777342358,2807,1,842.00,2807,100.00,0.00,0.00
11-April-2019,0.30,0.30,0.30,0.30,0.300000000000000000,50,1,15.00,50,100.00,0.00,0.00
22-March-2019,0.30,0.31,0.30,0.31,0.309832656698683037,10099,6,3129.00,10099,100.00,0.01,0.01
19-March-2019,0.30,0.30,0.30,0.30,0.300000000000000000,100,1,30.00,100,100.00,0.00,0.00
11-March-2019,0.30,0.30,0.30,0.30,0.300000000000000000,300,1,90.00,300,100.00,0.00,0.00
8-March-2019,0.31,0.31,0.31,0.31,0.310000000000000000,300,1,93.00,300,100.00,0.00,0.00
28-February-2019,0.32,0.32,0.31,0.31,0.306976744186046511,215,2,66.00,215,100.00,0.01,-0.01
27-February-2019,0.32,0.32,0.32,0.32,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
15-February-2019,0.32,0.32,0.32,0.32,0.318181818181818181,66,1,21.00,66,100.00,0.00,0.00
11-February-2019,0.32,0.32,0.32,0.32,0.166666666666666666,6,1,1.00,6,100.00,0.00,0.00
8-February-2019,0.32,0.32,0.32,0.32,0.304347826086956521,23,3,7.00,23,100.00,0.00,0.00
7-February-2019,0.31,0.32,0.31,0.32,0.319922755069198583,3107,4,994.00,3107,100.00,0.01,0.01
6-February-2019,0.31,0.31,0.31,0.31,0.285714285714285714,7,1,2.00,7,100.00,0.00,0.00
5-February-2019,0.31,0.32,0.31,0.31,0.309866392600205549,3892,3,1206.00,3892,100.00,0.01,0.00
1-February-2019,0.32,0.32,0.32,0.32,0.319924683327627524,11684,2,3738.00,11684,100.00,0.00,0.00
29-January-2019,0.35,0.35,0.33,0.33,0.333929905990638398,50846,5,16979.00,50846,100.00,0.02,-0.02
28-January-2019,0.34,0.34,0.34,0.34,0.340000000000000000,100,1,34.00,100,100.00,0.00,0.00
